anio,p31_nominal_mn_eur,p31_vol_idx_2020
1995,276378.0,73.71825
1996,291149.0,75.5411
1997,307814.0,77.705475
1998,326693.0,81.155375
1999,349575.0,85.060975
2000,380369.0,88.822075
2001,409181.0,92.2755
2002,433172.0,95.1127
2003,458054.0,97.463675
2004,493787.0,101.4539
2005,531150.0,105.6009
2006,572311.0,109.850975
2007,611600.0,113.578925
2008,629188.0,112.837575
2009,600877.0,108.783575
2010,615235.0,109.23765
2011,614392.0,106.597625
2012,605806.0,102.957025
2013,593795.0,99.922925
2014,604822.0,101.6444
2015,622213.0,104.6343
2016,640052.0,107.367325
2017,670455.0,110.7159
2018,692652.0,112.72445
2019,706458.0,113.848975
2020,620683.0,100.0
2021,679588.0,107.241675
